Time	CDK5(a!1), D(s!1, thr34~u, ser137~p, thr75~u).ParticleNumber	CDK5(a!1), D(s!1, thr34~u, ser137~u, thr75~u).ParticleNumber	CDK5(a).ParticleNumber	CK1(pSite~p).ParticleNumber	CK1(pSite~u).ParticleNumber	Ca2+(a!1), CK1(pSite~p!2), PP2B(ca1!1, ca2!3, ca3!4, ca4!5, state~a!2), Ca2+(a!5), Ca2+(a!4), Ca2+(a!3).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~p, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~u, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), PP2A(ca!1, pSite~u).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!1, ca3, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!3, ca3!4, ca4!1, state~a), Ca2+(a!4), Ca2+(a!3), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2, ca3!2, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~u), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), CK1(pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~u), CK1(pSite~u!1).ParticleNumber	D(s, thr34~u, ser137~p, thr75~p).ParticleNumber	D(s, thr34~u, ser137~p, thr75~u).ParticleNumber	D(s, thr34~u, ser137~u, thr75~p).ParticleNumber	D(s, thr34~u, ser137~u, thr75~u).ParticleNumber	PDE(pSite~u).ParticleNumber	PP2A(ca, pSite~u).ParticleNumber	PP2B(ca1, ca2, ca3, ca4, state~i).ParticleNumber	PP2C(a).ParticleNumber	R2C2(camp1, camp2, camp3, camp4, pka1~off, pka2~off).ParticleNumber
19.5	7.38004e+23	3.82891e+25	3.32386e+25	5.64129e+25	1.47539e+24	2.92771e+23	7.17418e+20	3.72981e+22	9.75795e+22	6.89147e+24	1.8864e+24	6.89147e+24	6.89147e+24	6.89147e+24	6.89147e+24	6.89147e+24	3.48842e+24	2.15806e+23	7.32915e+23	1.37015e+24	7.1201e+23	1.12217e+25	1.32838e+24	1.15364e+25	2.15577e+25	5.99974e+26	1.11893e+27	7.25066e+26	6.06926e+25	7.69149e+25	4.60741e+25	2.40886e+27
20	7.367e+23	3.82724e+25	3.32566e+25	5.62619e+25	1.5344e+24	3.02803e+23	7.25922e+20	3.77789e+22	9.86605e+22	6.98952e+24	1.95611e+24	6.98952e+24	6.98952e+24	6.98952e+24	6.98952e+24	6.98952e+24	3.52644e+24	2.15947e+23	7.33484e+23	1.36709e+24	7.41932e+23	1.12381e+25	1.38039e+24	1.15496e+25	2.15183e+25	6.01019e+26	1.11783e+27	7.25066e+26	6.06745e+25	7.62468e+25	4.60766e+25	2.40886e+27
20.5	7.37945e+23	3.82547e+25	3.32731e+25	5.61105e+25	1.59365e+24	3.12789e+23	7.36669e+20	3.8245e+22	9.97236e+22	7.08496e+24	2.02591e+24	7.08496e+24	7.08496e+24	7.08496e+24	7.08496e+24	7.08496e+24	3.56373e+24	2.16786e+23	7.36307e+23	1.36861e+24	7.71897e+23	1.1252e+25	1.43257e+24	1.15997e+25	2.15535e+25	6.01921e+26	1.11676e+27	7.25066e+26	6.06582e+25	7.55943e+25	4.60722e+25	2.40886e+27
21	7.41535e+23	3.82361e+25	3.32881e+25	5.5959e+25	1.65305e+24	3.22722e+23	7.49561e+20	3.86971e+22	1.00769e+23	7.17785e+24	2.09574e+24	7.17785e+24	7.17785e+24	7.17785e+24	7.17785e+24	7.17785e+24	3.60031e+24	2.18271e+23	7.4122e+23	1.37435e+24	8.01854e+23	1.12638e+25	1.48482e+24	1.1684e+25	2.16573e+25	6.02692e+26	1.11571e+27	7.25066e+26	6.06434e+25	7.49572e+25	4.60616e+25	2.40886e+27
21.5	7.47277e+23	3.82166e+25	3.33018e+25	5.58075e+25	1.71251e+24	3.32596e+23	7.64496e+20	3.91358e+22	1.01797e+23	7.26826e+24	2.16557e+24	7.26826e+24	7.26826e+24	7.26826e+24	7.26826e+24	7.26826e+24	3.6362e+24	2.20353e+23	7.4806e+23	1.38394e+24	8.31754e+23	1.12736e+25	1.53706e+24	1.17998e+25	2.18239e+25	6.03344e+26	1.11468e+27	7.25066e+26	6.063e+25	7.43351e+25	4.60451e+25	2.40886e+27
22	7.54992e+23	3.81963e+25	3.33144e+25	5.56563e+25	1.77195e+24	3.42404e+23	7.81372e+20	3.95615e+22	1.02808e+23	7.35625e+24	2.23533e+24	7.35625e+24	7.35625e+24	7.35625e+24	7.35625e+24	7.35625e+24	3.67141e+24	2.22985e+23	7.56673e+23	1.39705e+24	8.61557e+23	1.12817e+25	1.58921e+24	1.19447e+25	2.20479e+25	6.03888e+26	1.11366e+27	7.25066e+26	6.06179e+25	7.37276e+25	4.60234e+25	2.40886e+27
22.5	7.64515e+23	3.81753e+25	3.33259e+25	5.55055e+25	1.8313e+24	3.52141e+23	8.00085e+20	3.99748e+22	1.03802e+23	7.44188e+24	2.30499e+24	7.44188e+24	7.44188e+24	7.44188e+24	7.44188e+24	7.44188e+24	3.70595e+24	2.26122e+23	7.66911e+23	1.41338e+24	8.91227e+23	1.12881e+25	1.64121e+24	1.21163e+25	2.23246e+25	6.04334e+26	1.11266e+27	7.25066e+26	6.06069e+25	7.31344e+25	4.59968e+25	2.40886e+27
23	7.75688e+23	3.81535e+25	3.33365e+25	5.53554e+25	1.89049e+24	3.61802e+23	8.20535e+20	4.03762e+22	1.04779e+23	7.52523e+24	2.3745e+24	7.52523e+24	7.52523e+24	7.52523e+24	7.52523e+24	7.52523e+24	3.73985e+24	2.29722e+23	7.78635e+23	1.43263e+24	9.2073e+23	1.1293e+25	1.693e+24	1.23124e+25	2.26492e+25	6.04692e+26	1.11167e+27	7.25066e+26	6.0597e+25	7.25552e+25	4.59659e+25	2.40886e+27
23.5	7.88367e+23	3.81311e+25	3.33462e+25	5.5206e+25	1.94946e+24	3.71383e+23	8.42622e+20	4.07661e+22	1.05739e+23	7.60634e+24	2.44382e+24	7.60634e+24	7.60634e+24	7.60634e+24	7.60634e+24	7.60634e+24	3.7731e+24	2.33746e+23	7.91712e+23	1.45453e+24	9.50039e+23	1.12966e+25	1.74452e+24	1.2531e+25	2.30175e+25	6.0497e+26	1.11069e+27	7.25066e+26	6.0588e+25	7.19896e+25	4.59309e+25	2.40886e+27
24	8.02417e+23	3.81081e+25	3.33551e+25	5.50575e+25	2.00816e+24	3.80878e+23	8.66248e+20	4.1145e+22	1.06683e+23	7.68527e+24	2.51292e+24	7.68527e+24	7.68527e+24	7.68527e+24	7.68527e+24	7.68527e+24	3.80573e+24	2.38156e+23	8.06016e+23	1.47882e+24	9.79127e+23	1.12989e+25	1.79573e+24	1.27701e+25	2.34256e+25	6.05174e+26	1.10972e+27	7.25066e+26	6.05799e+25	7.14374e+25	4.58923e+25	2.40886e+27
24.5	8.17714e+23	3.80846e+25	3.33634e+25	5.491e+25	2.06654e+24	3.90283e+23	8.91317e+20	4.15133e+22	1.0761e+23	7.76209e+24	2.58174e+24	7.76209e+24	7.76209e+24	7.76209e+24	7.76209e+24	7.76209e+24	3.83774e+24	2.42919e+23	8.21429e+23	1.50528e+24	1.00797e+24	1.13002e+25	1.84657e+24	1.30278e+25	2.38698e+25	6.05314e+26	1.10876e+27	7.25066e+26	6.05725e+25	7.08982e+25	4.58504e+25	2.40886e+27
25	8.3414e+23	3.80606e+25	3.3371e+25	5.47637e+25	2.12456e+24	3.99594e+23	9.17736e+20	4.18714e+22	1.08521e+23	7.83685e+24	2.65026e+24	7.83685e+24	7.83685e+24	7.83685e+24	7.83685e+24	7.83685e+24	3.86914e+24	2.48e+23	8.37842e+23	1.53367e+24	1.03655e+24	1.13005e+25	1.89702e+24	1.33024e+25	2.43467e+25	6.05394e+26	1.10781e+27	7.25066e+26	6.05658e+25	7.03718e+25	4.58056e+25	2.40886e+27
25.5	8.51588e+23	3.80361e+25	3.3378e+25	5.46185e+25	2.18218e+24	4.08809e+23	9.45416e+20	4.22196e+22	1.09417e+23	7.9096e+24	2.71845e+24	7.9096e+24	7.9096e+24	7.9096e+24	7.9096e+24	7.9096e+24	3.89995e+24	2.53371e+23	8.55151e+23	1.56381e+24	1.06485e+24	1.12999e+25	1.94704e+24	1.35923e+25	2.48531e+25	6.0542e+26	1.10686e+27	7.25066e+26	6.05598e+25	6.98579e+25	4.57582e+25	2.40886e+27
26	8.69956e+23	3.80113e+25	3.33845e+25	5.44747e+25	2.23935e+24	4.17923e+23	9.74268e+20	4.25583e+22	1.10296e+23	7.9804e+24	2.78625e+24	7.9804e+24	7.9804e+24	7.9804e+24	7.9804e+24	7.9804e+24	3.93017e+24	2.59003e+23	8.73259e+23	1.5955e+24	1.09285e+24	1.12986e+25	1.99659e+24	1.38961e+25	2.53861e+25	6.05398e+26	1.10592e+27	7.25066e+26	6.05543e+25	6.93562e+25	4.57084e+25	2.40886e+27
26.5	8.89151e+23	3.7986e+25	3.33905e+25	5.43322e+25	2.29605e+24	4.26934e+23	1.00421e+21	4.28879e+22	1.1116e+23	8.0493e+24	2.85366e+24	8.0493e+24	8.0493e+24	8.0493e+24	8.0493e+24	8.0493e+24	3.95982e+24	2.64868e+23	8.92077e+23	1.62856e+24	1.12053e+24	1.12965e+25	2.04564e+24	1.42122e+25	2.5943e+25	6.05332e+26	1.10499e+27	7.25066e+26	6.05493e+25	6.88664e+25	4.56565e+25	2.40886e+27
27	9.09087e+23	3.79605e+25	3.33961e+25	5.41913e+25	2.35225e+24	4.35839e+23	1.03516e+21	4.32086e+22	1.12009e+23	8.11635e+24	2.92063e+24	8.11635e+24	8.11635e+24	8.11635e+24	8.11635e+24	8.11635e+24	3.98891e+24	2.70943e+23	9.11521e+23	1.66285e+24	1.14789e+24	1.12937e+25	2.09417e+24	1.45395e+25	2.65213e+25	6.05228e+26	1.10406e+27	7.25066e+26	6.05448e+25	6.83882e+25	4.56028e+25	2.40886e+27
27.5	9.29683e+23	3.79347e+25	3.34013e+25	5.40518e+25	2.40791e+24	4.44636e+23	1.06703e+21	4.35207e+22	1.12842e+23	8.1816e+24	2.98713e+24	8.1816e+24	8.1816e+24	8.1816e+24	8.1816e+24	8.1816e+24	4.01744e+24	2.77204e+23	9.31513e+23	1.6982e+24	1.17492e+24	1.12904e+25	2.14216e+24	1.48766e+25	2.71185e+25	6.05088e+26	1.10314e+27	7.25066e+26	6.05407e+25	6.79215e+25	4.55474e+25	2.40886e+27
28	9.50864e+23	3.79087e+25	3.34061e+25	5.39139e+25	2.46302e+24	4.53321e+23	1.09976e+21	4.38246e+22	1.1366e+23	8.24509e+24	3.05315e+24	8.24509e+24	8.24509e+24	8.24509e+24	8.24509e+24	8.24509e+24	4.04542e+24	2.83631e+23	9.51981e+23	1.73448e+24	1.2016e+24	1.12865e+25	2.18958e+24	1.52224e+25	2.77327e+25	6.04917e+26	1.10222e+27	7.25066e+26	6.0537e+25	6.74658e+25	4.54907e+25	2.40886e+27
28.5	9.72562e+23	3.78825e+25	3.34107e+25	5.37776e+25	2.51755e+24	4.61895e+23	1.13327e+21	4.41204e+22	1.14464e+23	8.30687e+24	3.11865e+24	8.30687e+24	8.30687e+24	8.30687e+24	8.30687e+24	8.30687e+24	4.07287e+24	2.90202e+23	9.72858e+23	1.77156e+24	1.22792e+24	1.12822e+25	2.23642e+24	1.55759e+25	2.83616e+25	6.04717e+26	1.10131e+27	7.25066e+26	6.05336e+25	6.7021e+25	4.54327e+25	2.40886e+27
29	9.94711e+23	3.78561e+25	3.34149e+25	5.36431e+25	2.57148e+24	4.70354e+23	1.1675e+21	4.44086e+22	1.15252e+23	8.367e+24	3.18361e+24	8.367e+24	8.367e+24	8.367e+24	8.367e+24	8.367e+24	4.09979e+24	2.96901e+23	9.94083e+23	1.80933e+24	1.25388e+24	1.12775e+25	2.28265e+24	1.59362e+25	2.90036e+25	6.04493e+26	1.1004e+27	7.25066e+26	6.05305e+25	6.65869e+25	4.53737e+25	2.40886e+27
29.5	1.01725e+24	3.78296e+25	3.34189e+25	5.35102e+25	2.62479e+24	4.78697e+23	1.20237e+21	4.46892e+22	1.16026e+23	8.4255e+24	3.24801e+24	8.4255e+24	8.4255e+24	8.4255e+24	8.4255e+24	8.4255e+24	4.12619e+24	3.03709e+23	1.0156e+24	1.84767e+24	1.27947e+24	1.12724e+25	2.32827e+24	1.63021e+25	2.96567e+25	6.04246e+26	1.0995e+27	7.25066e+26	6.05277e+25	6.61631e+25	4.53139e+25	2.40886e+27
30	1.04013e+24	3.7803e+25	3.34226e+25	5.33791e+25	2.67746e+24	4.86924e+23	1.23782e+21	4.49626e+22	1.16786e+23	8.48244e+24	3.31182e+24	8.48244e+24	8.48244e+24	8.48244e+24	8.48244e+24	8.48244e+24	4.15208e+24	3.1061e+23	1.03735e+24	1.88649e+24	1.30468e+24	1.12669e+25	2.37325e+24	1.66731e+25	3.03195e+25	6.0398e+26	1.0986e+27	7.25066e+26	6.05252e+25	6.57495e+25	4.52533e+25	2.40886e+27
30.5	1.06329e+24	3.77763e+25	3.34261e+25	5.32498e+25	2.72948e+24	4.95032e+23	1.2738e+21	4.52289e+22	1.17532e+23	8.53784e+24	3.37503e+24	8.53784e+24	8.53784e+24	8.53784e+24	8.53784e+24	8.53784e+24	4.17746e+24	3.1759e+23	1.05929e+24	1.9257e+24	1.32952e+24	1.12612e+25	2.4176e+24	1.70481e+25	3.09905e+25	6.03696e+26	1.09771e+27	7.25066e+26	6.05228e+25	6.53457e+25	4.51921e+25	2.40886e+27
31	1.08669e+24	3.77496e+25	3.34294e+25	5.31223e+25	2.78083e+24	5.03021e+23	1.31025e+21	4.54884e+22	1.18264e+23	8.59175e+24	3.43762e+24	8.59175e+24	8.59175e+24	8.59175e+24	8.59175e+24	8.59175e+24	4.20235e+24	3.24635e+23	1.08138e+24	1.9652e+24	1.35397e+24	1.12553e+25	2.46129e+24	1.74266e+25	3.16683e+25	6.03396e+26	1.09683e+27	7.25066e+26	6.05207e+25	6.49517e+25	4.51305e+25	2.40886e+27
31.5	1.11029e+24	3.77229e+25	3.34325e+25	5.29966e+25	2.83151e+24	5.10891e+23	1.3471e+21	4.57413e+22	1.18981e+23	8.64421e+24	3.49957e+24	8.64421e+24	8.64421e+24	8.64421e+24	8.64421e+24	8.64421e+24	4.22675e+24	3.31733e+23	1.10357e+24	2.00493e+24	1.37804e+24	1.12491e+25	2.50433e+24	1.78078e+25	3.23515e+25	6.03083e+26	1.09595e+27	7.25066e+26	6.05188e+25	6.45671e+25	4.50686e+25	2.40886e+27
32	1.13403e+24	3.76962e+25	3.34355e+25	5.28728e+25	2.8815e+24	5.18641e+23	1.38431e+21	4.59877e+22	1.19686e+23	8.69526e+24	3.56086e+24	8.69526e+24	8.69526e+24	8.69526e+24	8.69526e+24	8.69526e+24	4.25068e+24	3.38871e+23	1.12582e+24	2.0448e+24	1.40172e+24	1.12427e+25	2.5467e+24	1.81911e+25	3.3039e+25	6.02758e+26	1.09508e+27	7.25066e+26	6.05171e+25	6.41918e+25	4.50065e+25	2.40886e+27
32.5	1.15789e+24	3.76695e+25	3.34383e+25	5.27509e+25	2.9308e+24	5.26269e+23	1.42183e+21	4.62279e+22	1.20377e+23	8.74493e+24	3.62148e+24	8.74493e+24	8.74493e+24	8.74493e+24	8.74493e+24	8.74493e+24	4.27413e+24	3.46038e+23	1.1481e+24	2.08477e+24	1.42502e+24	1.12362e+25	2.5884e+24	1.8576e+25	3.37298e+25	6.02423e+26	1.09421e+27	7.25066e+26	6.05155e+25	6.38255e+25	4.49443e+25	2.40886e+27
33	1.18183e+24	3.76429e+25	3.34409e+25	5.26309e+25	2.97939e+24	5.33777e+23	1.45961e+21	4.6462e+22	1.21054e+23	8.79327e+24	3.68141e+24	8.79327e+24	8.79327e+24	8.79327e+24	8.79327e+24	8.79327e+24	4.29712e+24	3.53224e+23	1.17039e+24	2.12475e+24	1.44792e+24	1.12295e+25	2.62943e+24	1.89618e+25	3.44228e+25	6.02079e+26	1.09335e+27	7.25066e+26	6.0514e+25	6.3468e+25	4.4882e+25	2.40886e+27
33.5	1.20582e+24	3.76164e+25	3.34434e+25	5.25128e+25	3.02728e+24	5.41164e+23	1.4976e+21	4.66903e+22	1.21719e+23	8.84031e+24	3.74065e+24	8.84031e+24	8.84031e+24	8.84031e+24	8.84031e+24	8.84031e+24	4.31965e+24	3.6042e+23	1.19264e+24	2.16471e+24	1.47043e+24	1.12227e+25	2.66978e+24	1.93481e+25	3.5117e+25	6.01727e+26	1.0925e+27	7.25066e+26	6.05127e+25	6.31191e+25	4.48198e+25	2.40886e+27
34	1.22982e+24	3.759e+25	3.34458e+25	5.23965e+25	3.07445e+24	5.4843e+23	1.53576e+21	4.69128e+22	1.22371e+23	8.88609e+24	3.79919e+24	8.88609e+24	8.88609e+24	8.88609e+24	8.88609e+24	8.88609e+24	4.34173e+24	3.67618e+23	1.21483e+24	2.20458e+24	1.49255e+24	1.12158e+25	2.70945e+24	1.97344e+25	3.58116e+25	6.0137e+26	1.09165e+27	7.25066e+26	6.05114e+25	6.27787e+25	4.47577e+25	2.40886e+27
34.5	1.25381e+24	3.75637e+25	3.34481e+25	5.22822e+25	3.1209e+24	5.55575e+23	1.57406e+21	4.71297e+22	1.2301e+23	8.93063e+24	3.857e+24	8.93063e+24	8.93063e+24	8.93063e+24	8.93063e+24	8.93063e+24	4.36338e+24	3.74808e+23	1.23694e+24	2.24432e+24	1.51428e+24	1.12088e+25	2.74844e+24	2.01202e+25	3.65058e+25	6.01007e+26	1.09082e+27	7.25066e+26	6.05103e+25	6.24464e+25	4.46959e+25	2.40886e+27
35	1.27777e+24	3.75376e+25	3.34503e+25	5.21698e+25	3.16663e+24	5.626e+23	1.61244e+21	4.73412e+22	1.23636e+23	8.97398e+24	3.91409e+24	8.97398e+24	8.97398e+24	8.97398e+24	8.97398e+24	8.97398e+24	4.38458e+24	3.81984e+23	1.25894e+24	2.2839e+24	1.53562e+24	1.12018e+25	2.78675e+24	2.05053e+25	3.71988e+25	6.0064e+26	1.08998e+27	7.25066e+26	6.05093e+25	6.21223e+25	4.46343e+25	2.40886e+27
35.5	1.30166e+24	3.75116e+25	3.34524e+25	5.20593e+25	3.21163e+24	5.69505e+23	1.65088e+21	4.75474e+22	1.24251e+23	9.01616e+24	3.97044e+24	9.01616e+24	9.01616e+24	9.01616e+24	9.01616e+24	9.01616e+24	4.40536e+24	3.89139e+23	1.28082e+24	2.32326e+24	1.55658e+24	1.11947e+25	2.82439e+24	2.08892e+25	3.789e+25	6.0027e+26	1.08916e+27	7.25066e+26	6.05084e+25	6.18059e+25	4.4573e+25	2.40886e+27
36	1.32547e+24	3.74858e+25	3.34545e+25	5.19507e+25	3.25591e+24	5.7629e+23	1.68934e+21	4.77484e+22	1.24853e+23	9.05721e+24	4.02605e+24	9.05721e+24	9.05721e+24	9.05721e+24	9.05721e+24	9.05721e+24	4.42572e+24	3.96266e+23	1.30255e+24	2.36238e+24	1.57715e+24	1.11876e+25	2.86134e+24	2.12716e+25	3.85787e+25	5.99897e+26	1.08835e+27	7.25066e+26	6.05075e+25	6.14972e+25	4.45122e+25	2.40886e+27
36.5	1.34918e+24	3.74601e+25	3.34564e+25	5.1844e+25	3.29947e+24	5.82956e+23	1.72779e+21	4.79445e+22	1.25443e+23	9.09716e+24	4.08091e+24	9.09716e+24	9.09716e+24	9.09716e+24	9.09716e+24	9.09716e+24	4.44567e+24	4.0336e+23	1.32413e+24	2.40123e+24	1.59733e+24	1.11805e+25	2.89762e+24	2.16521e+25	3.92643e+25	5.99523e+26	1.08754e+27	7.25066e+26	6.05067e+25	6.1196e+25	4.44518e+25	2.40886e+27
37	1.37276e+24	3.74347e+25	3.34583e+25	5.17392e+25	3.3423e+24	5.89504e+23	1.76618e+21	4.81357e+22	1.26021e+23	9.13603e+24	4.13501e+24	9.13603e+24	9.13603e+24	9.13603e+24	9.13603e+24	9.13603e+24	4.46521e+24	4.10415e+23	1.34552e+24	2.43977e+24	1.61714e+24	1.11734e+25	2.93323e+24	2.20306e+25	3.99464e+25	5.99147e+26	1.08674e+27	7.25066e+26	6.0506e+25	6.09021e+25	4.43918e+25	2.40886e+27
37.5	1.39621e+24	3.74094e+25	3.34601e+25	5.16363e+25	3.38441e+24	5.95934e+23	1.80451e+21	4.83222e+22	1.26588e+23	9.17386e+24	4.18836e+24	9.17386e+24	9.17386e+24	9.17386e+24	9.17386e+24	9.17386e+24	4.48435e+24	4.17426e+23	1.36673e+24	2.47798e+24	1.63657e+24	1.11663e+25	2.96817e+24	2.24066e+25	4.06243e+25	5.98771e+26	1.08595e+27	7.25066e+26	6.05053e+25	6.06154e+25	4.43324e+25	2.40886e+27
38	1.4195e+24	3.73844e+25	3.34618e+25	5.15353e+25	3.4258e+24	6.02247e+23	1.84273e+21	4.8504e+22	1.27144e+23	9.21068e+24	4.24094e+24	9.21068e+24	9.21068e+24	9.21068e+24	9.21068e+24	9.21068e+24	4.5031e+24	4.24388e+23	1.38773e+24	2.51583e+24	1.65562e+24	1.11591e+25	3.00244e+24	2.27801e+25	4.12977e+25	5.98396e+26	1.08517e+27	7.25066e+26	6.05047e+25	6.03356e+25	4.42736e+25	2.40886e+27
38.5	1.44262e+24	3.73596e+25	3.34635e+25	5.14361e+25	3.46647e+24	6.08445e+23	1.88082e+21	4.86813e+22	1.27688e+23	9.24651e+24	4.29276e+24	9.24651e+24	9.24651e+24	9.24651e+24	9.24651e+24	9.24651e+24	4.52146e+24	4.31298e+23	1.40853e+24	2.55331e+24	1.6743e+24	1.1152e+25	3.03606e+24	2.31506e+25	4.19661e+25	5.98021e+26	1.0844e+27	7.25066e+26	6.05041e+25	6.00626e+25	4.42153e+25	2.40886e+27
39	1.46555e+24	3.73351e+25	3.34651e+25	5.13388e+25	3.50642e+24	6.14528e+23	1.91875e+21	4.88543e+22	1.28221e+23	9.28138e+24	4.34381e+24	9.28138e+24	9.28138e+24	9.28138e+24	9.28138e+24	9.28138e+24	4.53945e+24	4.38151e+23	1.42909e+24	2.5904e+24	1.69262e+24	1.1145e+25	3.06903e+24	2.35182e+25	4.26291e+25	5.97647e+26	1.08363e+27	7.25066e+26	6.05036e+25	5.97962e+25	4.41576e+25	2.40886e+27
39.5	1.4883e+24	3.73108e+25	3.34666e+25	5.12433e+25	3.54567e+24	6.20497e+23	1.95651e+21	4.90229e+22	1.28743e+23	9.31531e+24	4.3941e+24	9.31531e+24	9.31531e+24	9.31531e+24	9.31531e+24	9.31531e+24	4.55706e+24	4.44945e+23	1.44943e+24	2.62707e+24	1.71057e+24	1.11379e+25	3.10134e+24	2.38825e+25	4.32864e+25	5.97275e+26	1.08288e+27	7.25066e+26	6.05031e+25	5.95364e+25	4.41006e+25	2.40886e+27
40	1.51083e+24	3.72867e+25	3.34682e+25	5.11497e+25	3.5842e+24	6.26353e+23	1.99407e+21	4.91874e+22	1.29255e+23	9.34834e+24	4.44361e+24	9.34834e+24	9.34834e+24	9.34834e+24	9.34834e+24	9.34834e+24	4.5743e+24	4.51675e+23	1.46952e+24	2.66332e+24	1.72816e+24	1.1131e+25	3.13302e+24	2.42434e+25	4.39378e+25	5.96905e+26	1.08213e+27	7.25066e+26	6.05026e+25	5.92828e+25	4.40443e+25	2.40886e+27
40.5	1.53315e+24	3.72629e+25	3.34696e+25	5.10578e+25	3.62204e+24	6.32097e+23	2.0314e+21	4.93478e+22	1.29756e+23	9.38048e+24	4.49235e+24	9.38048e+24	9.38048e+24	9.38048e+24	9.38048e+24	9.38048e+24	4.59118e+24	4.5834e+23	1.48937e+24	2.69913e+24	1.7454e+24	1.1124e+25	3.16406e+24	2.46008e+25	4.45827e+25	5.96536e+26	1.08139e+27	7.25066e+26	6.05022e+25	5.90355e+25	4.39886e+25	2.40886e+27
41	1.55524e+24	3.72394e+25	3.3471e+25	5.09677e+25	3.65918e+24	6.37732e+23	2.06849e+21	4.95043e+22	1.30246e+23	9.41176e+24	4.54033e+24	9.41176e+24	9.41176e+24	9.41176e+24	9.41176e+24	9.41176e+24	4.60771e+24	4.64936e+23	1.50896e+24	2.73448e+24	1.76228e+24	1.11171e+25	3.19448e+24	2.49544e+25	4.52212e+25	5.96171e+26	1.08067e+27	7.25066e+26	6.05018e+25	5.87942e+25	4.39337e+25	2.40886e+27
41.5	1.5771e+24	3.72162e+25	3.34724e+25	5.08794e+25	3.69563e+24	6.43257e+23	2.10533e+21	4.96569e+22	1.30727e+23	9.44221e+24	4.58754e+24	9.44221e+24	9.44221e+24	9.44221e+24	9.44221e+24	9.44221e+24	4.62389e+24	4.71461e+23	1.52829e+24	2.76937e+24	1.77882e+24	1.11103e+25	3.22427e+24	2.53043e+25	4.58528e+25	5.95808e+26	1.07995e+27	7.25066e+26	6.05014e+25	5.85588e+25	4.38795e+25	2.40886e+27
42	1.59872e+24	3.71932e+25	3.34738e+25	5.07929e+25	3.73139e+24	6.48674e+23	2.14188e+21	4.98057e+22	1.31197e+23	9.47184e+24	4.63398e+24	9.47184e+24	9.47184e+24	9.47184e+24	9.47184e+24	9.47184e+24	4.63973e+24	4.77913e+23	1.54736e+24	2.80379e+24	1.79502e+24	1.11035e+25	3.25345e+24	2.56502e+25	4.64774e+25	5.95449e+26	1.07924e+27	7.25066e+26	6.05011e+25	5.83291e+25	4.3826e+25	2.40886e+27
42.5	1.62009e+24	3.71705e+25	3.34751e+25	5.0708e+25	3.76647e+24	6.53984e+23	2.17815e+21	4.99509e+22	1.31658e+23	9.50069e+24	4.67967e+24	9.50069e+24	9.50069e+24	9.50069e+24	9.50069e+24	9.50069e+24	4.65523e+24	4.84289e+23	1.56617e+24	2.83774e+24	1.81087e+24	1.10968e+25	3.28203e+24	2.5992e+25	4.70947e+25	5.95093e+26	1.07854e+27	7.25066e+26	6.05008e+25	5.81051e+25	4.37732e+25	2.40886e+27
43	1.64121e+24	3.71481e+25	3.34763e+25	5.06249e+25	3.80089e+24	6.59189e+23	2.2141e+21	5.00925e+22	1.32109e+23	9.52876e+24	4.72459e+24	9.52876e+24	9.52876e+24	9.52876e+24	9.52876e+24	9.52876e+24	4.67041e+24	4.90589e+23	1.5847e+24	2.87119e+24	1.8264e+24	1.10902e+25	3.31001e+24	2.63298e+25	4.77047e+25	5.9474e+26	1.07785e+27	7.25066e+26	6.05005e+25	5.78865e+25	4.37212e+25	2.40886e+27
